"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5822","TC_ISSUE_003_Reproduce_CartRemoveFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:21:49 UTC 2026","broken","Wed Jan 21 07:21:55 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_003_Reproduce_CartRemoveFailure"
"","497","PROD003_SortByNameAToZ_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:21:53 UTC 2026","passed","Wed Jan 21 07:21:54 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD003_SortByNameAToZ_UpdatesListOrder"
"","1094","TC_ISSUE_002_Reproduce_SortingFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:21:48 UTC 2026","failed","Wed Jan 21 07:21:49 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_002_Reproduce_SortingFailure"
"","609","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount","SAHomeLoansSauceDemo","Wed Jan 21 07:21:51 UTC 2026","passed","Wed Jan 21 07:21:52 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount"
"","1001","CART009_ClickCheckout_NavigatesToInformationPage","SAHomeLoansSauceDemo","Wed Jan 21 07:21:48 UTC 2026","passed","Wed Jan 21 07:21:49 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART009_ClickCheckout_NavigatesToInformationPage"
"","504","PROD005_SortByPriceLowToHigh_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:21:54 UTC 2026","passed","Wed Jan 21 07:21:55 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD005_SortByPriceLowToHigh_UpdatesListOrder"
"","612","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum","SAHomeLoansSauceDemo","Wed Jan 21 07:21:52 UTC 2026","passed","Wed Jan 21 07:21:53 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum"
"","551","PROD006_SortByPriceHighToLow_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:21:55 UTC 2026","passed","Wed Jan 21 07:21:55 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD006_SortByPriceHighToLow_UpdatesListOrder"
"","871","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Wed Jan 21 07:21:51 UTC 2026","passed","Wed Jan 21 07:21:51 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","582","TC_ISSUE_005_Reproduce_EmptyCartCheckout","SAHomeLoansSauceDemo","Wed Jan 21 07:21:56 UTC 2026","failed","Wed Jan 21 07:21:56 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_005_Reproduce_EmptyCartCheckout"
"","5530","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch","SAHomeLoansSauceDemo","Wed Jan 21 07:21:56 UTC 2026","failed","Wed Jan 21 07:22:02 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch"
