"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","565","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo","SAHomeLoansSauceDemo","Wed Jan 21 07:33:39 UTC 2026","passed","Wed Jan 21 07:33:40 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo"
"","2660","TC_ISSUE_001_Reproduce_BrokenImages","SAHomeLoansSauceDemo","Wed Jan 21 07:33:32 UTC 2026","failed","Wed Jan 21 07:33:35 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_001_Reproduce_BrokenImages"
"","792","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Wed Jan 21 07:33:37 UTC 2026","passed","Wed Jan 21 07:33:38 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","752","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo","SAHomeLoansSauceDemo","Wed Jan 21 07:33:37 UTC 2026","passed","Wed Jan 21 07:33:37 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo"
"","629","TC_ISSUE_004_Reproduce_LastNameInputBug","SAHomeLoansSauceDemo","Wed Jan 21 07:33:42 UTC 2026","failed","Wed Jan 21 07:33:42 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_004_Reproduce_LastNameInputBug"
"","615","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount","SAHomeLoansSauceDemo","Wed Jan 21 07:33:38 UTC 2026","passed","Wed Jan 21 07:33:39 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount"
"","620","TC_ISSUE_005_Reproduce_EmptyCartCheckout","SAHomeLoansSauceDemo","Wed Jan 21 07:33:42 UTC 2026","failed","Wed Jan 21 07:33:43 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_005_Reproduce_EmptyCartCheckout"
"","1756","AUTH007_Logout_RedirectsToLoginPage","SAHomeLoansSauceDemo","Wed Jan 21 07:33:35 UTC 2026","passed","Wed Jan 21 07:33:37 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH007_Logout_RedirectsToLoginPage"
"","1109","TC_ISSUE_002_Reproduce_SortingFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:33:35 UTC 2026","failed","Wed Jan 21 07:33:36 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_002_Reproduce_SortingFailure"
"","5827","TC_ISSUE_003_Reproduce_CartRemoveFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:33:36 UTC 2026","broken","Wed Jan 21 07:33:42 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_003_Reproduce_CartRemoveFailure"
"","5553","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch","SAHomeLoansSauceDemo","Wed Jan 21 07:33:43 UTC 2026","failed","Wed Jan 21 07:33:49 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch"
"","2615","AUTH001_ValidUser_RedirectsToInventory","SAHomeLoansSauceDemo","Wed Jan 21 07:33:32 UTC 2026","passed","Wed Jan 21 07:33:35 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH001_ValidUser_RedirectsToInventory"
