"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","820","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo","SAHomeLoansSauceDemo","Wed Jan 21 07:35:44 UTC 2026","passed","Wed Jan 21 07:35:45 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo"
"","528","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum","SAHomeLoansSauceDemo","Wed Jan 21 07:35:46 UTC 2026","passed","Wed Jan 21 07:35:47 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum"
"","586","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount","SAHomeLoansSauceDemo","Wed Jan 21 07:35:45 UTC 2026","passed","Wed Jan 21 07:35:46 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount"
"","768","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:44 UTC 2026","passed","Wed Jan 21 07:35:45 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","472","PROD004_SortByNameZToA_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:35:48 UTC 2026","passed","Wed Jan 21 07:35:48 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD004_SortByNameZToA_UpdatesListOrder"
"","465","PROD003_SortByNameAToZ_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:35:47 UTC 2026","passed","Wed Jan 21 07:35:48 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD003_SortByNameAToZ_UpdatesListOrder"
"","5504","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch","SAHomeLoansSauceDemo","Wed Jan 21 07:35:50 UTC 2026","failed","Wed Jan 21 07:35:56 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch"
"","614","CART001_AddBackpack_UpdatesBadgeCount","SAHomeLoansSauceDemo","Wed Jan 21 07:35:44 UTC 2026","passed","Wed Jan 21 07:35:44 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CART001_AddBackpack_UpdatesBadgeCount"
"","1720","AUTH007_Logout_RedirectsToLoginPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:42 UTC 2026","passed","Wed Jan 21 07:35:44 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH007_Logout_RedirectsToLoginPage"
"","3441","TC_ISSUE_001_Reproduce_BrokenImages","SAHomeLoansSauceDemo","Wed Jan 21 07:35:39 UTC 2026","failed","Wed Jan 21 07:35:42 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_001_Reproduce_BrokenImages"
"","529","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo","SAHomeLoansSauceDemo","Wed Jan 21 07:35:47 UTC 2026","passed","Wed Jan 21 07:35:47 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo"
"","525","TC_ISSUE_004_Reproduce_LastNameInputBug","SAHomeLoansSauceDemo","Wed Jan 21 07:35:49 UTC 2026","failed","Wed Jan 21 07:35:50 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_004_Reproduce_LastNameInputBug"
"","753","CHKT001_SubmitValidInformation_NavigatesToOverviewPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:43 UTC 2026","passed","Wed Jan 21 07:35:44 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT001_SubmitValidInformation_NavigatesToOverviewPage"
"","568","TC_ISSUE_005_Reproduce_EmptyCartCheckout","SAHomeLoansSauceDemo","Wed Jan 21 07:35:50 UTC 2026","failed","Wed Jan 21 07:35:50 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_005_Reproduce_EmptyCartCheckout"
"","469","PROD006_SortByPriceHighToLow_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:35:48 UTC 2026","passed","Wed Jan 21 07:35:49 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD006_SortByPriceHighToLow_UpdatesListOrder"
"","3382","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:39 UTC 2026","passed","Wed Jan 21 07:35:42 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage"
"","3391","AUTH001_ValidUser_RedirectsToInventory","SAHomeLoansSauceDemo","Wed Jan 21 07:35:39 UTC 2026","passed","Wed Jan 21 07:35:42 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH001_ValidUser_RedirectsToInventory"
"","950","CART009_ClickCheckout_NavigatesToInformationPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:42 UTC 2026","passed","Wed Jan 21 07:35:43 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART009_ClickCheckout_NavigatesToInformationPage"
"","5777","TC_ISSUE_003_Reproduce_CartRemoveFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:35:43 UTC 2026","broken","Wed Jan 21 07:35:49 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_003_Reproduce_CartRemoveFailure"
"","721","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal","SAHomeLoansSauceDemo","Wed Jan 21 07:35:45 UTC 2026","passed","Wed Jan 21 07:35:45 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal"
"","465","PROD005_SortByPriceLowToHigh_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:35:48 UTC 2026","passed","Wed Jan 21 07:35:48 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD005_SortByPriceLowToHigh_UpdatesListOrder"
