"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1130","TC_ISSUE_002_Reproduce_SortingFailure","SAHomeLoansSauceDemo","Wed Jan 21 07:35:06 UTC 2026","failed","Wed Jan 21 07:35:07 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_002_Reproduce_SortingFailure"
"","2593","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:04 UTC 2026","passed","Wed Jan 21 07:35:06 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage"
"","562","PROD004_SortByNameZToA_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 21 07:35:12 UTC 2026","passed","Wed Jan 21 07:35:13 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD004_SortByNameZToA_UpdatesListOrder"
"","777","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal","SAHomeLoansSauceDemo","Wed Jan 21 07:35:09 UTC 2026","passed","Wed Jan 21 07:35:10 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal"
"","1827","AUTH007_Logout_RedirectsToLoginPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:06 UTC 2026","passed","Wed Jan 21 07:35:08 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH007_Logout_RedirectsToLoginPage"
"","818","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:09 UTC 2026","passed","Wed Jan 21 07:35:10 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","863","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo","SAHomeLoansSauceDemo","Wed Jan 21 07:35:08 UTC 2026","passed","Wed Jan 21 07:35:09 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo"
"","2603","AUTH001_ValidUser_RedirectsToInventory","SAHomeLoansSauceDemo","Wed Jan 21 07:35:04 UTC 2026","passed","Wed Jan 21 07:35:06 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH001_ValidUser_RedirectsToInventory"
"","879","CHKT001_SubmitValidInformation_NavigatesToOverviewPage","SAHomeLoansSauceDemo","Wed Jan 21 07:35:07 UTC 2026","passed","Wed Jan 21 07:35:08 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT001_SubmitValidInformation_NavigatesToOverviewPage"
"","782","CART001_AddBackpack_UpdatesBadgeCount","SAHomeLoansSauceDemo","Wed Jan 21 07:35:08 UTC 2026","passed","Wed Jan 21 07:35:09 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CART001_AddBackpack_UpdatesBadgeCount"
