"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1041","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal","SAHomeLoansSauceDemo","Wed Jan 07 09:53:00 UTC 2026","passed","Wed Jan 07 09:53:01 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal"
"","6142","TC_ISSUE_003_Reproduce_CartRemoveFailure","SAHomeLoansSauceDemo","Wed Jan 07 09:52:58 UTC 2026","broken","Wed Jan 07 09:53:04 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_003_Reproduce_CartRemoveFailure"
"","1935","AUTH007_Logout_RedirectsToLoginPage","SAHomeLoansSauceDemo","Wed Jan 07 09:52:57 UTC 2026","passed","Wed Jan 07 09:52:59 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH007_Logout_RedirectsToLoginPage"
"","1132","TC_ISSUE_005_Reproduce_EmptyCartCheckout","SAHomeLoansSauceDemo","Wed Jan 07 09:53:05 UTC 2026","failed","Wed Jan 07 09:53:07 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_005_Reproduce_EmptyCartCheckout"
"","711","PROD003_SortByNameAToZ_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 07 09:53:04 UTC 2026","passed","Wed Jan 07 09:53:04 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD003_SortByNameAToZ_UpdatesListOrder"
"","815","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum","SAHomeLoansSauceDemo","Wed Jan 07 09:53:02 UTC 2026","passed","Wed Jan 07 09:53:03 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum"
"","2190","TC_ISSUE_001_Reproduce_BrokenImages","SAHomeLoansSauceDemo","Wed Jan 07 09:52:55 UTC 2026","failed","Wed Jan 07 09:52:57 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_001_Reproduce_BrokenImages"
"","1155","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Wed Jan 07 09:53:00 UTC 2026","passed","Wed Jan 07 09:53:01 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","966","CART001_AddBackpack_UpdatesBadgeCount","SAHomeLoansSauceDemo","Wed Jan 07 09:52:59 UTC 2026","passed","Wed Jan 07 09:53:00 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CART001_AddBackpack_UpdatesBadgeCount"
"","1007","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo","SAHomeLoansSauceDemo","Wed Jan 07 09:52:59 UTC 2026","passed","Wed Jan 07 09:53:00 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo"
"","764","PROD004_SortByNameZToA_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 07 09:53:04 UTC 2026","passed","Wed Jan 07 09:53:05 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD004_SortByNameZToA_UpdatesListOrder"
"","1120","CHKT001_SubmitValidInformation_NavigatesToOverviewPage","SAHomeLoansSauceDemo","Wed Jan 07 09:52:58 UTC 2026","passed","Wed Jan 07 09:52:59 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT001_SubmitValidInformation_NavigatesToOverviewPage"
"","843","PROD005_SortByPriceLowToHigh_UpdatesListOrder","SAHomeLoansSauceDemo","Wed Jan 07 09:53:05 UTC 2026","passed","Wed Jan 07 09:53:06 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD005_SortByPriceLowToHigh_UpdatesListOrder"
"","1075","TC_ISSUE_004_Reproduce_LastNameInputBug","SAHomeLoansSauceDemo","Wed Jan 07 09:53:04 UTC 2026","failed","Wed Jan 07 09:53:05 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_004_Reproduce_LastNameInputBug"
"","2125","AUTH001_ValidUser_RedirectsToInventory","SAHomeLoansSauceDemo","Wed Jan 07 09:52:55 UTC 2026","passed","Wed Jan 07 09:52:57 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH001_ValidUser_RedirectsToInventory"
